"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","CLE","58","254","17","45","46","10","12.2%","16.9%",".315",".294",".292",".386",".607",".415","164","88.7","1.9","21.9","1.7","3.4","13510"
"Freddie Freeman","ATL","60","262","13","51","53","2","17.2%","14.1%",".299",".366",".341",".462",".640",".456","187","92.4","-0.3","28.7","-1.3","3.3","5361"
"Mookie Betts","LAD","55","246","16","47","39","10","9.8%","15.4%",".269",".289",".292",".366",".562",".390","149","90.7","3.3","18.6","3.1","3.0","13611"
"Fernando Tatis Jr.","SDP","59","257","17","50","45","11","10.5%","23.7%",".295",".306",".277",".366",".571",".392","149","95.9","1.4","17.5","3.1","2.9","19709"
"Trea Turner","WSN","59","259","12","46","41","12","8.5%","13.9%",".253",".353",".335",".394",".588",".413","158","90.5","2.4","21.6","-0.5","2.7","16252"
"Anthony Rendon","LAA","52","232","9","29","31","0","16.4%","13.4%",".212",".302",".286",".418",".497",".395","154","90.1","0.0","15.4","3.7","2.7","12861"
"Mike Yastrzemski","SFG","54","225","10","39","35","2","13.3%","24.4%",".271",".370",".297",".400",".568",".407","159","88.2","0.8","17.7","1.2","2.6","14854"
"Jose Abreu","CHW","60","262","19","43","60","0","6.9%","22.5%",".300",".350",".317",".370",".617",".411","166","92.9","-1.0","20.2","-5.4","2.6","15676"
"Manny Machado","SDP","60","254","16","44","47","6","10.2%","14.6%",".277",".297",".304",".370",".580",".391","149","90.2","-1.7","14.1","3.2","2.6","11493"
"Marcell Ozuna","ATL","60","267","18","38","56","0","14.2%","22.5%",".298",".391",".338",".431",".636",".444","179","93.0","-0.2","26.7","-7.8","2.5","10324"
"Mike Trout","LAA","53","241","17","41","46","1","14.5%","23.2%",".322",".300",".281",".390",".603",".407","162","93.7","1.3","19.7","-2.4","2.5","10155"
"DJ LeMahieu","NYY","50","216","10","41","27","3","8.3%","9.7%",".226",".370",".364",".421",".590",".429","176","91.3","0.7","21.0","-1.2","2.5","9874"
"Trevor Story","COL","59","259","11","41","28","15","9.3%","24.3%",".230",".354",".289",".355",".519",".370","117","89.9","4.0","9.7","6.3","2.4","12564"
"Juan Soto","WSN","47","196","13","39","37","6","20.9%","14.3%",".344",".363",".351",".490",".695",".478","201","92.3","-0.5","24.8","-4.9","2.4","20123"
"Ronald Acuna Jr.","ATL","46","202","14","46","29","8","18.8%","29.7%",".331",".302",".250",".406",".581",".413","158","92.4","2.2","17.3","2.0","2.4","18401"
"Brandon Lowe","TBR","56","224","14","36","37","3","11.2%","25.9%",".285",".309",".269",".362",".554",".385","150","89.8","2.9","16.8","1.4","2.4","18882"
"Trent Grisham","SDP","59","252","10","42","26","10","12.3%","25.4%",".205",".310",".251",".352",".456",".349","121","88.3","-0.2","6.5","8.3","2.3","18564"
"Paul Goldschmidt","STL","58","231","6","31","21","1","16.0%","18.6%",".162",".364",".304",".417",".466",".387","146","89.2","1.1","14.6","-2.9","2.1","9218"
"Tim Anderson","CHW","49","221","10","45","21","5","4.5%","22.6%",".207",".383",".322",".357",".529",".376","142","87.2","0.8","12.2","-0.1","2.1","15172"
"Michael Conforto","NYM","54","233","9","40","31","3","10.3%","24.5%",".193",".412",".322",".412",".515",".401","157","88.4","-0.2","16.7","-2.3","2.0","16376"
"Nelson Cruz","MIN","53","214","16","33","33","0","11.7%","27.1%",".292",".360",".303",".397",".595",".411","164","91.6","-0.7","16.1","-5.6","2.0","2434"
"Cesar Hernandez","CLE","58","261","3","35","20","0","9.2%","21.8%",".124",".364",".283",".355",".408",".335","110","89.1","0.4","3.5","4.7","1.9","10556"
"George Springer","HOU","51","222","14","37","32","1","10.8%","17.1%",".275",".259",".265",".359",".540",".379","146","88.7","1.3","14.1","-2.2","1.9","12856"
"Ian Happ","CHC","57","231","12","27","28","1","13.0%","27.3%",".247",".317",".258",".361",".505",".369","132","91.1","0.2","9.5","-0.3","1.9","17919"
"Xander Bogaerts","BOS","56","225","11","36","28","8","9.3%","18.2%",".202",".329",".300",".364",".502",".368","130","89.0","2.7","11.1","2.4","1.9","12161"
"Wil Myers","SDP","55","218","15","34","40","2","8.3%","25.7%",".318",".331",".288",".353",".606",".400","154","91.0","1.4","16.5","-4.7","1.9","10047"
"Dansby Swanson","ATL","60","264","10","49","35","5","8.3%","26.9%",".190",".350",".274",".345",".464",".348","116","89.0","4.2","9.5","2.8","1.9","18314"
"Corey Seager","LAD","52","232","15","38","41","1","7.3%","15.9%",".278",".309",".307",".358",".585",".394","152","93.2","-1.8","13.5","-2.5","1.9","13624"
"Kole Calhoun","ARI","54","228","16","35","40","1","12.3%","21.9%",".300",".211",".226",".338",".526",".362","125","89.4","0.5","7.9","2.6","1.8","11200"
"Dominic Smith","NYM","50","199","10","27","42","0","7.0%","22.6%",".299",".368",".316",".377",".616",".412","164","89.8","0.6","16.9","-3.8","1.8","15653"
"Luke Voit","NYY","56","234","22","41","52","0","7.3%","23.1%",".333",".268",".277",".338",".610",".393","152","88.9","0.1","15.2","-3.2","1.8","14811"
"Francisco Lindor","CLE","60","266","8","30","27","6","9.0%","15.4%",".157",".280",".258",".335",".415",".324","102","89.9","-2.5","-1.9","8.2","1.8","12916"
"Mark Canha","OAK","59","243","5","32","33","4","15.2%","22.2%",".162",".307",".246",".387",".408",".351","128","89.7","2.2","10.5","-1.0","1.8","11445"
"J.T. Realmuto","PHI","47","195","11","33","32","4","8.2%","24.6%",".225",".307",".266",".349",".491",".361","125","90.9","2.0","8.3","4.2","1.7","11739"
"Yasmani Grandal","CHW","46","194","8","27","27","0","15.5%","29.9%",".193",".299",".230",".351",".422",".338","116","90.3","-2.4","1.4","7.0","1.7","11368"
"Kyle Lewis","SEA","58","242","11","37","28","5","14.0%","29.3%",".175",".341",".262",".364",".437",".349","126","88.3","1.7","9.4","-1.0","1.6","19508"
"Eloy Jimenez","CHW","55","226","14","26","41","0","5.3%","24.8%",".263",".340",".296",".332",".559",".373","140","92.4","0.5","11.5","-4.7","1.6","17484"
"Bryce Harper","PHI","58","244","13","41","33","8","20.1%","17.6%",".274",".279",".268",".420",".542",".400","151","92.3","-0.6","15.4","-5.1","1.6","11579"
"Willson Contreras","CHC","57","225","7","37","26","1","8.9%","25.3%",".164",".307",".243",".356",".407",".336","110","89.8","-0.8","2.1","4.6","1.6","11609"
"Yoan Moncada","CHW","52","231","6","28","24","0","12.1%","31.2%",".160",".315",".225",".320",".385",".309","96","87.8","3.0","1.9","4.3","1.6","17232"
"Alex Verdugo","BOS","53","221","6","36","15","4","7.7%","20.4%",".169",".371",".308",".367",".478",".362","126","87.0","1.1","8.3","2.3","1.6","17027"
